R,G,B,C,M,Y,K
85,0,171,222,231,0,0
128,0,171,165,248,0,0
171,0,171,111,255,0,0
213,0,171,31,255,0,0
255,0,171,0,244,53,0
0,43,171,254,84,0,33
43,43,171,254,123,0,16
85,43,171,215,211,0,0
128,43,171,164,227,0,0
171,43,171,112,233,0,0
213,43,171,38,238,1,1
255,43,171,0,235,54,0
0,85,171,255,45,0,7
43,85,171,248,87,8,20
85,85,171,214,145,21,4
128,85,171,152,180,10,0
171,85,171,106,197,9,0
213,85,171,43,208,16,0
255,85,171,0,212,56,0
0,128,171,252,0,21,0
43,128,171,224,34,36,9
85,128,171,191,73,47,13
128,128,171,146,110,45,0
171,128,171,98,136,38,0
213,128,171,38,152,39,0
255,128,171,0,167,60,0
0,171,171,214,0,74,0
43,171,171,192,0,72,0
85,171,171,166,19,71,0
128,171,171,134,43,71,0
171,171,171,90,71,69,0
213,171,171,35,89,61,0
255,171,171,0,104,62,0
0,213,171,164,0,110,0
43,213,171,160,0,111,0
85,213,171,149,0,107,0
128,213,171,130,3,100,0
171,213,171,99,9,91,0
213,213,171,45,32,86,0
255,213,171,0,48,84,0
0,255,171,144,0,127,0
43,255,171,142,0,126,0
85,255,171,136,0,123,0
128,255,171,126,0,119,0
171,255,171,109,0,114,0
213,255,171,70,0,102,0
255,255,171,0,0,107,0
0,0,213,254,88,0,26
43,0,213,254,96,0,14
85,0,213,234,182,1,2
128,0,213,179,227,0,0
171,0,213,130,239,0,0
213,0,213,62,249,0,0
255,0,213,0,242,24,0
0,43,213,255,78,0,12
43,43,213,255,101,0,3
85,43,213,234,170,0,0
128,43,213,177,209,0,0
171,43,213,130,220,0,0
213,43,213,72,226,0,0
255,43,213,0,234,25,0
0,85,213,255,56,0,2
43,85,213,252,81,0,1
85,85,213,233,117,0,0
128,85,213,169,168,0,0
171,85,213,126,190,0,0
213,85,213,73,201,0,0
255,85,213,0,212,30,0
0,128,213,246,8,0,0
43,128,213,226,38,5,0
85,128,213,207,57,9,0
128,128,213,164,97,3,0
171,128,213,114,137,0,0
213,128,213,64,155,2,0
255,128,213,0,172,30,0
0,171,213,198,0,27,0
43,171,213,188,0,22,0
85,171,213,171,11,21,0
128,171,213,141,33,21,0
171,171,213,99,65,15,0
213,171,213,52,95,12,0
255,171,213,0,118,30,0
0,213,213,167,0,54,0
43,213,213,160,0,55,0
85,213,213,147,0,52,0
128,213,213,127,2,48,0
171,213,213,95,9,41,0
213,213,213,48,36,39,0
255,213,213,0,53,33,0
0,255,213,143,0,88,0
43,255,213,140,0,87,0
85,255,213,134,0,86,0
128,255,213,120,0,82,0
171,255,213,96,0,73,0
213,255,213,59,0,61,0
255,255,213,0,0,59,0
0,0,255,255,79,0,6
43,0,255,255,81,0,5
85,0,255,254,112,0,0
128,0,255,193,202,0,0
171,0,255,143,221,0,0
213,0,255,85,235,0,0
255,0,255,0,236,5,0
0,43,255,255,70,0,5
43,43,255,255,77,0,2
85,43,255,254,101,0,0
128,43,255,191,183,0,0
171,43,255,142,211,0,0
213,43,255,83,226,0,0
255,43,255,0,228,4,0
0,85,255,255,58,0,0
43,85,255,254,63,0,0
85,85,255,246,76,0,0
128,85,255,195,142,0,0
171,85,255,138,185,0,0
213,85,255,83,205,0,0
255,85,255,0,208,5,0
0,128,255,243,24,0,0
43,128,255,237,32,0,0
85,128,255,225,40,0,0
128,128,255,197,66,0,0
171,128,255,132,137,0,0
213,128,255,84,166,0,0
255,128,255,1,173,1,0
0,171,255,204,2,4,0
43,171,255,200,2,1,0
85,171,255,188,6,0,0
128,171,255,169,15,0,0
171,171,255,127,55,0,0
213,171,255,73,110,0,0
255,171,255,1,129,1,0
0,213,255,164,0,25,0
43,213,255,161,0,23,0
85,213,255,152,0,19,0
128,213,255,135,0,8,0
171,213,255,108,4,2,0
213,213,255,64,29,0,0
255,213,255,5,75,2,0
0,255,255,140,0,41,0
43,255,255,137,0,40,0
85,255,255,131,0,38,0
128,255,255,118,0,33,0
171,255,255,95,0,24,0
213,255,255,54,0,12,0
255,255,255,0,0,0,0
